Journal/Book	COUNT
Prog Neurobiol	2
Prog Neuropsychopharmacol Biol Psychiatry	3
Prog Nucl Magn Reson Spectrosc	1
Prog Urol	4
Prospects (Paris)	1
Prostate	2
Prostate Cancer Prostatic Dis	2
Protein Expr Purif	1
Proteomics	2
Proteomics Clin Appl	2
Protist	3
Psych J	1
Psychiatr Genet	1
Psychiatr Serv	1
Psychiatry Res	12
Psychiatry Res Neuroimaging	1
Psychol Aging	5
Psychol Assess	2
Psychol Belg	3
Psychol Bull	4
Psychol Health	4
Psychol Health Med	3
Psychol Med	6
Psychol Methods	1
Psychol Music	2
Psychol Rep	2
Psychol Res	6
Psychol Rev	1
Psychol Sci	7
Psychol Sport Exerc	1
Psychol Trauma	1
Psychol Women Q	1
Psychon Bull Rev	11
Psychoneuroendocrinology	6
Psychooncology	1
Psychopathology	1
Psychopharmacology (Berl)	1
Psychophysiology	13
Psychother Psychosom	2
Publ Astron Soc Jpn Nihon Tenmon Gakkai	1
Public Health Ethics	1
Public Health Genomics	1
Public Health Rev	5
Public Underst Sci	2
Pulm Circ	2
Pulmonology	1
Q J Exp Psychol (Hove)	10
Q J Nucl Med Mol Imaging	2
Qual Life Res	3
Qual User Exp	1
Quant Imaging Med Surg	1
R Soc Open Sci	8
RMD Open	3
RNA	4
RNA Biol	1
RSC Adv	4
RSC Chem Biol	1
Radiat Oncol	2
Radiat Prot Dosimetry	1
Radiat Res	1
Radiography (Lond)	1
Radiol Artif Intell	1
Radiol Bras	6
Radiol Case Rep	3
Radiol Med	2
Radiology	4
Radiother Oncol	4
Rare Tumors	1
Recenti Prog Med	1
Rech Soins Infirm	1
Redox Biol	2
Reeduc Orthoph	1
Regen Med	1
Regul Toxicol Pharmacol	3
Rep Prog Phys	3
Reprod Biol Endocrinol	2
Reprod Biomed Online	2
Reprod Health	4
Res Aging	1
Res Dev Disabil	2
Res Pract Thromb Haemost	4
Res Social Adm Pharm	4
Res Synth Methods	3
Res Vet Sci	1
Respir Care	4
Respir Med	4
Respir Med Res	1
Respir Res	2
Respiration	2
Respirol Case Rep	1
Restor Dent Endod	1
Resuscitation	7
Retina	2
Retrovirology	1
Rev Environ Health	1
Rev Esp Cardiol (Engl Ed)	3
Rev Esp Sanid Penit	1
Rev Infirm	1
Rev Int Organ	1
Rev Mal Respir	5
Rev Med Chil	1
Rev Med Interne	4
Rev Med Liege	1
Rev Med Suisse	652
Rev Neurol (Paris)	1
Rev Peru Med Exp Salud Publica	1
Rev Pneumol Clin	1
Rev Prat	5
Rev Sci Instrum	9
Rev Soc Bras Med Trop	1
Rev Stomatol Chir Maxillofac Chir Orale	1
Rheum Dis Clin North Am	1
Rheumatol Int	3
Rheumatol Ther	1
Rheumatology (Oxford)	7
Rhinology	9
Risk Anal	1
S Afr J Physiother	1
S Afr Med J	1
SAGE Open Med	1
SN Soc Sci	1
SSM Popul Health	4
Saf Health Work	4
Salud Publica Mex	2
Sankhya B (2008)	1
Sante Ment Que	2
Sante Publique	1
Sarcoma	1
Saudi J Anaesth	2
Saudi J Gastroenterol	1
Scand J Gastroenterol	1
Scand J Psychol	2
Scand J Public Health	1
Scand J Rheumatol	3
Scand J Trauma Resusc Emerg Med	1
Schizophr Bull	8
Schizophr Res	8
Schizophr Res Cogn	3
Schweiz Z Polit	1
Sci Adv	21
Sci Bull (Beijing)	4
Sci Data	22
Sci Eng Ethics	2
Sci Justice	1
Sci Rep	237
Sci Signal	2
Sci Technol Adv Mater	1
Sci Total Environ	68
Sci Transl Med	3
Science	23
Scoliosis Spinal Disord	1
Seizure	2
Semin Arthritis Rheum	2
Semin Cancer Biol	1
Semin Cell Dev Biol	1
Semin Fetal Neonatal Med	1
Semin Liver Dis	1
Semin Musculoskelet Radiol	4
Semin Oncol	1
Semin Ophthalmol	1
Semin Respir Crit Care Med	1
Semin Thorac Cardiovasc Surg	1
Semin Thromb Hemost	4
Sensors (Basel)	7
Sex Abuse	1
Sex Disabil	1
Sex Med	1
Sex Roles	1
Shoulder Elbow	1
Simul Healthc	1
Skin Res Technol	1
Sleep	1
Sleep Med	1
Small	6
Soc Cogn Affect Neurosci	5
Soc Justice Res	1
Soc Media Soc	1
Soc Neurosci	3
Soc Psychol Educ	1
Soc Sci Med	10
Soc Sci Res	2
Sociol Health Illn	3
Sociol Methodol	1
Soft Matter	13
Soins	4
Soins Pediatr Pueric	2
Soins Psychiatr	2
Sophia	1
South Med J	1
Space Sci Rev	1
Span J Psychol	4
Spectrochim Acta A Mol Biomol Spectrosc	1
Spine J	1
Sports (Basel)	1
Sports Med Health Sci	1
Springerplus	1
Stat Comput	1
Stat Med	1
Stat Methods Med Res	1
Stem Cell Res	1
Stem Cell Rev Rep	1
Stem Cells Dev	1
Stem Cells Transl Med	1
Stereotact Funct Neurosurg	1
Strahlenther Onkol	3
Stroke	8
Stroke Vasc Neurol	1
Struct Dyn	5
Stud Fam Plann	1
Stud Health Technol Inform	20
Stud Hist Philos Sci	7
Subst Abus	1
Subst Use Misuse	1
Support Care Cancer	3
Surg Endosc	4
Surg Infect (Larchmt)	2
Surg Laparosc Endosc Percutan Tech	1
Surg Obes Relat Dis	1
Surgery	2
Surv Ophthalmol	1
Sustain Water Resour Manag	1
Swiss J Geosci	2
Swiss J Palaeontol	1
Swiss Med Wkly	70
Synthese	8
Syst Parasitol	3
Syst Rev	2
TH Open	3
Talanta	9
Target Oncol	1
Tech Coloproctol	4
Tech Hand Up Extrem Surg	1
Technol Cancer Res Treat	2
Tectonics	1
The EBMT Handbook: Hematopoietic Stem Cell Transplantation and Cellular Therapies	2
Ther Adv Chronic Dis	1
Ther Adv Drug Saf	1
Ther Adv Gastrointest Endosc	1
Ther Adv Med Oncol	4
Ther Adv Vaccines	1
Ther Clin Risk Manag	1
Ther Drug Monit	3
Ther Hypothermia Temp Manag	1
Ther Umsch	6
Theranostics	1
Therap Adv Gastroenterol	1
Therapie	3
Thorac Cancer	2
Thromb Haemost	4
Thromb J	1
Thromb Res	11
Tissue Barriers	1
Tissue Eng Part A	1
Tob Control	1
Top Curr Chem	1
Toxicol Appl Pharmacol	1
Toxicol In Vitro	1
Toxicology	1
Toxicon X	5
Toxins (Basel)	2
Traffic	2
Trans R Soc Trop Med Hyg	1
Transcult Psychiatry	1
Transfus Clin Biol	3
Transfus Med Hemother	3
Transfusion	2
Transgenic Res	1
Transl Androl Urol	1
Transl Cancer Res	2
Transl Lung Cancer Res	8
Transl Oncol	7
Transl Psychiatry	13
Transl Stroke Res	2
Transl Vis Sci Technol	5
Transp Res D Transp Environ	1
Transpl Immunol	1
Transpl Infect Dis	2
Transpl Int	4
Transplant Direct	1
Transplantation	3
Travel Med Infect Dis	7
Tree Physiol	2
Trends Cell Biol	3
Trends Cogn Sci	4
Trends Ecol Evol	2
Trends Microbiol	1
Trends Mol Med	2
Trends Neurosci	1
Trials	8
Trop Med Infect Dis	2
Trop Med Int Health	1
Tuberculosis (Edinb)	1
Turk Kardiyol Dern Ars	2
Ultramicroscopy	1
Ultraschall Med	2
Ultrason Imaging	1
Ultrasound Med Biol	2
Ultrasound Obstet Gynecol	3
Ultrastruct Pathol	1
Updates Surg	2
Urol Oncol	3
Urolithiasis	1
Urology	3
Vaccine	16
Vaccines (Basel)	7
Value Health	3
Value Health Reg Issues	2
Vascul Pharmacol	2
Vascular	1
Vet Ophthalmol	1
Vet Sci	1
VideoEndocrinology	1
Vietnam J Math	1
Virchows Arch	4
Virology	2
Virulence	1
Virus Res	1
Viruses	7
Vis Comput	2
Vis cogn	1
Vision (Basel)	1
Vision Res	6
Vox Sang	2
Waste Manag	2
Water Environ Res	1
Water Res	7
Wellcome Open Res	2
West J Emerg Med	1
Wilderness Environ Med	5
Wiley Interdiscip Rev Cogn Sci	1
Womens Health (Lond)	1
Work	1
Workplace Health Saf	1
World Allergy Organ J	1
World J Biol Psychiatry	2
World J Clin Cases	1
World J Clin Oncol	2
World J Emerg Surg	5
World J Gastroenterol	6
World J Gastrointest Oncol	2
World J Gastrointest Surg	1
World J Surg	1
World J Surg Oncol	1
World J Urol	3
World Neurosurg	11
World Psychiatry	1
Xenotransplantation	2
Yale J Biol Med	1
Z Evid Fortbild Qual Gesundhwes	1
Z Literaturwissenschaft Linguist	1
Z Med Phys	2
Zookeys	2
Zootaxa	3
Zygote	3
bioRxiv	1
eNeuro	4
iScience	6
mBio	5
mSphere	1
medRxiv	5
